"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"21","Pde11a",2.15764257036152e-261,3.24424667051167,0.853,0.247,5.34620676084177e-257
"21","Ltbp1",1.61639951130732e-103,3.12930450909267,0.375,0.087,4.00511470911729e-99
"21","Itpr1",1.97356594577325e-168,3.08823033691159,0.905,0.509,4.89010170043695e-164
"21","Elk3",2.51893458447777e-84,3.0505957433444,0.233,0.042,6.24141611341902e-80
"21","Calcrl",3.36830041847446e-117,2.90894563575988,0.413,0.094,8.34597477689603e-113
"21","Tmem132c",8.00162018991508e-225,2.86960753062256,0.739,0.181,1.98264145065716e-220
"21","Chrdl1",2.06128765456573e-99,2.86786238441481,0.271,0.048,5.10745855048297e-95
"21","Egr3",1.38371962198741e-41,2.85765329838868,0.121,0.023,3.4285804793604e-37
"21","Tpd52l1",8.94016224581262e-155,2.77517412296591,0.691,0.225,2.21519340126745e-150
"22","Pappa2",0,7.47624116703649,0.505,0.006,0
"22","Bnc2",0,6.81653997708782,1,0.048,0
"22","Dkk2",0,5.26412495786811,0.486,0.022,0
"22","Ebf1",6.13218010247983e-300,4.61077199830821,0.962,0.149,1.51943158579245e-295
"22","Col24a1",4.795166963209e-22,3.96747234406927,0.148,0.032,1.18814647014393e-17
"22","Trim36",1.07069884518483e-120,3.83821028955957,0.229,0.017,2.65297759859898e-116
"22","Slc18a2",9.82988018506905e-89,3.24895275707494,0.243,0.025,2.43564771225641e-84
"22","Ntn1",1.72656290427348e-169,2.94326899734046,0.976,0.272,4.27807756420883e-165
"22","Gulp1",2.63846104996691e-79,2.90058948519451,0.867,0.488,6.537578789608e-75
"22","Fbn2",9.23040122827732e-92,2.83826090374884,0.51,0.098,2.28710881634256e-87
"22","Snai2",7.5465228957563e-50,2.7913530298389,0.205,0.03,1.8698774431105e-45
"22","Plch1",1.51234588903498e-129,2.76291027414719,0.852,0.237,3.74729064385087e-125
"22","Mme",9.55338289132979e-82,2.6960468979005,0.538,0.123,2.3671372128137e-77
"22","Foxp4",9.36667161151394e-59,2.67259372931683,0.362,0.073,2.32087389190092e-54
"22","Sema3a",1.14248486075994e-78,2.61093061956868,0.581,0.145,2.83084898799097e-74
"22","Tspan18",9.79711340606029e-49,2.59779268141957,0.329,0.071,2.42752875975362e-44
"22","Slc9a4",5.81884564893509e-54,2.58378356728664,0.329,0.066,1.44179357489314e-49
"22","Wnt7a",4.03729152671559e-49,2.52741196223859,0.252,0.043,1.00036009448959e-44
"22","Amigo2",2.83572105143708e-42,2.2953344990763,0.333,0.08,7.0263496212508e-38
"22","Cdca7l",5.37483176877553e-39,2.19892643252364,0.319,0.078,1.3317758156672e-34
"23","Adamts19",1.2035643764389e-281,5.19174097559853,0.39,0.018,2.9821918119403e-277
"23","Prox1",0,4.77481025298049,0.855,0.067,0
"23","Fzd6",2.56755040943805e-281,4.7404715552858,0.326,0.013,6.36187640450561e-277
"23","Grpr",5.37428113476636e-281,4.33493655595112,0.465,0.026,1.33163937957241e-276
"23","Fstl1",1.43165221589278e-290,4.29280318116759,0.738,0.065,3.54734786053913e-286
"23","Igf1",1.66805499589399e-222,4.14252363122279,0.471,0.033,4.13310666882614e-218
"23","Tinag",2.13177231105288e-54,3.94171499627094,0.105,0.007,5.28210543232683e-50
"23","Sox6",1.58119824903215e-156,3.92289201248117,0.994,0.295,3.91789302145187e-152
"23","Esrrb",1.62460689825282e-55,3.79616595429818,0.14,0.011,4.02545097249083e-51
"23","Pdgfd",7.1079016951028e-102,3.67405726289203,0.395,0.048,1.76119588201257e-97
"23","Itga9",4.12313136345795e-170,3.46108915536452,0.599,0.068,1.02162948923761e-165
"23","Rxfp1",1.60559051031996e-61,3.39825981878597,0.227,0.026,3.97833216647081e-57
"23","Col14a1",2.01630382521616e-126,3.38168858617816,0.36,0.033,4.99599761812059e-122
"23","Siah3",1.55979106203272e-125,3.29159746074057,0.703,0.13,3.86485029350468e-121
"23","Dkk2",3.04701919779446e-48,3.18836332655215,0.192,0.023,7.54990416829511e-44
"23","Cdh13",4.52432673279847e-109,3.16909678286775,1,0.7,1.12103767785281e-104
"23","Ddah1",6.25732058611168e-111,3.16540058341975,0.849,0.238,1.55043889482675e-106
"23","Mlip",2.29369757630525e-111,3.11024836856192,0.622,0.108,5.68332385456916e-107
"23","Hapln1",4.20398093142914e-38,2.98373562872996,0.157,0.019,1.04166239518951e-33
"23","Hcrtr2",5.72119998494568e-118,2.89712468529719,0.878,0.239,1.41759893226984e-113
"3","Plekhh2",0,2.89365963620352,0.17,0.04,0
"3","Myo3b",0,2.74966982749108,0.255,0.061,0
"3","Tmprss9",2.22054835847601e-304,2.34745137316292,0.112,0.023,5.50207472263186e-300
"3","Dach2",2.84027332243279e-63,2.06920409230201,0.12,0.064,7.03762923832396e-59
"3","Rasal1",0,1.86362473931328,0.414,0.133,0
"3","Dnah14",1.85144035164492e-232,1.83125561998219,0.153,0.049,4.58749890330578e-228
"3","Dnah11",1.11629834099326e-217,1.80729357489824,0.155,0.052,2.7659640293131e-213
"3","Amz1",2.090485419457e-275,1.71094394191165,0.186,0.061,5.17980477233056e-271
"3","Ntsr1",6.01362196540049e-138,1.55116850862439,0.102,0.035,1.49005525058693e-133
"3","Znf831",0,1.52390826996175,0.419,0.165,0
"3","Pawr",1.25894858913088e-191,1.52070698747258,0.171,0.065,3.1194228141485e-187
"3","Palld",5.1300200670287e-267,1.48405058820081,0.408,0.228,1.27111637220837e-262
"3","Cpne7",0,1.47142020418204,0.426,0.21,0
"3","Gpr101",9.18234359794078e-124,1.41496823544438,0.113,0.043,2.27520109669777e-119
"3","Stat4",1.10269825670972e-138,1.4063569612185,0.149,0.061,2.73226574047535e-134
"3","Dnah2",5.84369887572933e-117,1.37959618515547,0.121,0.049,1.44795170742821e-112
"3","Nr2f1",5.32667710633512e-195,1.31912389253771,0.201,0.082,1.31984405340772e-190
"3","Matn2",1.58975870065683e-139,1.3147113609453,0.219,0.11,3.93910410848748e-135
"3","Scml4",3.20488227747803e-226,1.29059987583357,0.265,0.117,7.94105730713506e-222
"3","Sox13",1.48053639459446e-156,1.28859108474654,0.25,0.128,3.66847307852616e-152
"4","Plp1",0,1.87534778385976,0.596,0.35,0
"4","Mbp",0,1.78009703942962,0.985,0.614,0
"4","Mobp",0,1.69573277797197,0.498,0.307,0
"4","Sparcl1",7.05111579650157e-299,1.49702649483712,0.53,0.382,1.74712547205716e-294
"4","Gask1b",0,1.43504566501642,0.539,0.364,0
"4","Ints7",5.51247228887509e-112,1.40309482909671,0.383,0.309,1.36588038373747e-107
"4","Gatm",1.88510091061552e-29,1.33353061564386,0.147,0.106,4.67090303632313e-25
"4","Ntng1",0,1.28234930048266,0.993,0.78,0
"4","Anln",1.53109300370923e-31,1.27860467152609,0.154,0.109,3.79374224459074e-27
"4","Qki",0,1.26566255411906,0.994,0.815,0
"4","Cdh19",7.23715162103862e-14,1.21558150579125,0.125,0.1,1.79322142866095e-09
"4","Rps29",3.38728748338623e-41,1.19271358014252,0.182,0.129,8.3930209263344e-37
"4","Rpl37",4.07514030461495e-109,1.15234715513978,0.361,0.268,1.00973826467749e-104
"4","Bcas1",6.50575616446214e-53,1.14750403299423,0.248,0.182,1.61199626243043e-48
"4","Fau",1.35381830038131e-129,1.14561305153384,0.419,0.33,3.3544909846848e-125
"4","B2m",7.49553221126086e-32,1.1129432990665,0.219,0.174,1.85724297130622e-27
"4","Rpl37a",9.4504113934866e-54,1.11221208830422,0.246,0.184,2.34162293507811e-49
"4","Rpl34",1.1770023835928e-33,1.10159910312481,0.222,0.178,2.91637650606624e-29
"4","Eef1a1",1.9038298822904e-62,1.07893739302818,0.337,0.283,4.71730968233915e-58
"4","Ugt8",4.95854691102107e-13,1.07264189483918,0.151,0.128,1.2286287536128e-08
"5","Gal",0,3.77364314602823,0.105,0.007,0
"5","Satb2",0,3.52914348949025,0.249,0.043,0
"5","Esr1",0,3.37823854160513,0.476,0.094,0
"5","Tac3",0,3.18223824769723,0.29,0.041,0
"5","Slc18a2",5.25216773058366e-266,2.50083687561665,0.105,0.021,1.30138212028402e-261
"5","Col4a4",0,2.46803762079077,0.241,0.048,0
"5","Pappa",6.16584831302692e-285,2.43735849317638,0.194,0.059,1.52777389500181e-280
"5","Adamtsl1",4.27242677396701e-73,2.18549527787096,0.2,0.118,1.05862190605355e-68
"5","Prlr",0,2.16279625460839,0.713,0.265,0
"5","Col18a1",0,2.15815196129529,0.205,0.055,0
"5","Stk32a",0,2.05527476758573,0.338,0.137,0
"5","Pgr",0,2.04553211165203,0.5,0.195,0
"5","Glra1",0,1.97462479706682,0.247,0.068,0
"5","Pou6f2",1.42864968530483e-158,1.91422678713866,0.353,0.207,3.53990819024831e-154
"5","Stk32b",0,1.89116617030249,0.293,0.099,0
"5","CUNH12orf75",0,1.81847737998774,0.26,0.083,0
"5","Ar",0,1.79267546013254,0.605,0.27,0
"5","Npy5r",2.21510521876099e-229,1.7875838929111,0.154,0.045,5.48858771104597e-225
"5","Esr2",4.73479682506214e-198,1.76502871871407,0.131,0.037,1.1731879573139e-193
"5","Nts",1.26933059516422e-231,1.76284355444242,0.136,0.036,3.14514734869791e-227
"6","Cdh23",0,4.01575804609147,0.4,0.042,0
"6","Gli3",0,3.7005141348992,0.599,0.117,0
"6","Mcm3",0,3.52331488316625,0.1,0.009,0
"6","Malrd1",1.14858733945068e-166,2.52024363444617,0.115,0.034,2.8459697096909e-162
"6","Mctp2",0,2.51374509932611,0.528,0.197,0
"6","Adra1b",0,2.50750437113655,0.306,0.061,0
"6","Dgkk",0,2.48868693479986,0.54,0.135,0
"6","Lhx8",0,2.40986589541932,0.633,0.132,0
"6","Lhfpl2",0,2.39717938843635,0.188,0.046,0
"6","Fbxw10b",0,2.38832503679948,0.146,0.028,0
"6","Synpo2",7.63271584907665e-177,2.22923533947786,0.134,0.042,1.89123433308421e-172
"6","Prdm16",0,2.0964264547794,0.291,0.07,0
"6","Gpr139",4.15882511531766e-291,1.98016079452949,0.174,0.046,1.03047368707341e-286
"6","Irs4",0,1.96992091569976,0.326,0.086,0
"6","Gfra2",0,1.91662705266004,0.539,0.181,0
"6","Triobp",0,1.89213662947869,0.229,0.066,0
"6","Dlk1",0,1.89190126915423,0.443,0.134,0
"6","Lypd6",0,1.89079488092459,0.651,0.222,0
"6","Rorb",0,1.88824459028922,0.545,0.266,0
"6","Cfap46",0,1.8634463365051,0.6,0.241,0
"7","Tp73",0,5.33561068185982,0.139,0.004,0
"7","Samd3",0,3.90668922844497,0.168,0.013,0
"7","Ndnf",0,3.5008795693381,0.118,0.014,0
"7","Lhx5",0,3.46256462969149,0.184,0.017,0
"7","Uncx",0,3.24864329066315,0.11,0.012,0
"7","Slc17a6",0,3.02633891351002,0.634,0.094,0
"7","Nrn1",0,2.92149670445667,0.241,0.029,0
"7","Tmem163",0,2.68102413335244,0.721,0.158,0
"7","Masp1",0,2.64205170072446,0.126,0.024,0
"7","Rspo3",0,2.57771273681712,0.237,0.051,0
"7","Ntng2",0,2.48824762962405,0.133,0.027,0
"7","Syt2",0,2.36879262822107,0.241,0.068,0
"7","Gpr179",1.03578712841614e-246,2.17886996947967,0.139,0.035,2.56647334678952e-242
"7","Mdga1",0,2.15774522570789,0.432,0.117,0
